locations_no;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;flurstueck;rechtswert;hochwert;wohneinheiten;geweinheiten;rvfarbe;rvname;dpsid;hamikrorohr;aplaufgelegt;hakabelfasern;hakabelspleiss;kntname;odfspleiss;odfkabelfasern;mfgsid;popextid;auftraggeber;assigned_user_id;popsid
LOC10751;Gerstetten;Heldenfingen;Molkereistraße;40;-;-;578857.2;5384154.0;2;0;orange;HLDFG-HA1x10gr-ws-RVT05-02-018;HLDFG-RVT-05;grau / weiß;1-4;12 F (1x12);4;HLDFG-RVT-05;5-8;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10811;Gerstetten;Heldenfingen;Rüblinger Straße;18;-;-;578798.82;5384255.0;2;0;grün;HLDFG-HA1x10br-RVT02-02-07;HLDFG-RVT-02;braun;1-4;12 F (1x12);4;HLDFG-RVT-02;5-8;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10866;Gerstetten;Heldenfingen;Vordere Gasse;2;-;-;578538.71;5384027.0;1;0;schwarz;HLDFG-HA1x10sw-RVT03-05-010;HLDFG-RVT-03;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-03;5-6;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10688;Gerstetten;Heldenfingen;Kurzer Weg;3;-;-;579188.87;5384150.0;2;0;orange;HLDFG-HA1x10vi-RVT06-04-08;HLDFG-RVT-06;violett;1-4;12 F (1x12);4;HLDFG-RVT-06;7-10;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10773;Gerstetten;Heldenfingen;Rabenweg;7;-;-;578827.41;5383721.0;1;0;grün;HLDFG-HA1x10gn-RVT04-01-02;HLDFG-RVT-04;grün;1-2;12 F (1x12);2;HLDFG-RVT-04;7-8;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10568;Gerstetten;Heldenfingen;Felsenstraße;16;-;-;578972.75;5384285.0;2;0;grün;HLDFG-HA1x10ws-sw-RVT07-01-017;HLDFG-RVT-07;schwarz / weiß;1-4;12 F (1x12);4;HLDFG-RVT-07;9-12;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10715;Gerstetten;Heldenfingen;Max-Eyth-Straße;29;-;-;578483.35;5384041.0;2;0;grün;HLDFG-HA1x10or-RVT03-01-011;HLDFG-RVT-03;orange;1-4;12 F (1x12);4;HLDFG-RVT-03;9-12;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10805;Gerstetten;Heldenfingen;Rüblinger Straße;11;-;-;578721.25;5384237.0;2;0;grün;HLDFG-HA1x10bl-ws-RVT02-02-015;HLDFG-RVT-02;blau / weiß;1-4;12 F (1x12);4;HLDFG-RVT-02;9-12;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10835;Gerstetten;Heldenfingen;Rüblinger Straße;50;-;-;578980.45;5384466.0;2;0;grün;HLDFG-HA1x10tk-RVT08-01-09;HLDFG-RVT-08;türkis;1-4;12 F (1x12);4;HLDFG-RVT-08;9-12;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10451;Gerstetten;Heldenfingen;Altheimer Weg;5;-;-;578807.02;5383813.0;1;0;orange;HLDFG-HA1x10rs-RVT04-02-012;HLDFG-RVT-04;rosa;1-2;12 F (1x12);2;HLDFG-RVT-04;11-12;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10539;Gerstetten;Heldenfingen;Dettinger Weg;28;-;-;579170.87;5384047.0;2;0;grün;HLDFG-HA1x10bl-ws-RVT06-02-015;HLDFG-RVT-06;blau / weiß;1-4;12 F (1x12);4;HLDFG-RVT-06;11-14;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10634;Gerstetten;Heldenfingen;Jakobusstraße;9;-;-;578798.62;5384513.0;1;0;grün;HLDFG-HA1x10tk-RVT01-01-09;HLDFG-RVT-01;türkis;1-2;12 F (1x12);2;HLDFG-RVT-01;101-102;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
